newData(relu_act),noData(relu_act),newData(leaky_relu_act),noData(leaky_relu_act),newData(tanh_act),noData(tanh_act),newData(sigmoid_act),noData(sigmoid_act),newData(scalar_mult),noData(scalar_mult),newData(small_dense),noData(small_dense),newData(big_dense),noData(big_dense),newData(simple_conv2d),noData(simple_conv2d),newData(strided_conv2d),noData(strided_conv2d),newData(dilated_conv2d),noData(dilated_conv2d),newData(small_conv2d),noData(small_conv2d),newData(big_conv2d),noData(big_conv2d),newData(many_conv2d),noData(many_conv2d),newData(few_conv2d),noData(few_conv2d)
2.0799998310394585e-06,7.639998784725321e-07,2.7060000320489053e-06,8.269998943433166e-07,2.2149999949760968e-06,8.909998996387003e-07,4.192999995211721e-06,2.5759998152352637e-06,2.207000079579302e-06,8.339998203155119e-07,2.339000047868467e-06,9.289999525208259e-07,1.0735999921962502e-05,8.432999948126962e-06,0.0012261409999609896,0.000811040999906254,9.578499998497136e-05,0.00010139699998035212,0.0012225709999711398,0.0011560670000108075,0.0009699239999463316,0.0008166099999016296,0.00275705600006404,0.00313932099993508,0.005543387999978222,0.00430528099991534,0.0011373279999133956,0.0009981969999444118
2.162000100724981e-06,7.450000794051448e-07,2.629999926284654e-06,8.009999419300584e-07,2.213000016126898e-06,8.939998679124983e-07,4.237999974066042e-06,2.590999883977929e-06,2.431999973850907e-06,8.070001058513299e-07,2.3370000690192683e-06,9.640000371291535e-07,1.0513000006540096e-05,8.419999858233496e-06,0.0010450039999341243,0.0008411740000155987,9.813199994823663e-05,0.00016356400010408834,0.0012719320000087464,0.0013439169999855949,0.000981160000037562,0.0008630869999706192,0.0029781749999528984,0.0032353000001421606,0.005617610999934186,0.004783150999855934,0.0008451030000742321,0.000970805000179098
9.509999927104218e-06,7.849998837627936e-07,9.246999979950488e-06,9.4600000011269e-07,8.849000096233794e-06,9.899999895424116e-07,1.1249000181123847e-05,2.8429999474610668e-06,9.670000054029515e-06,8.719998731976375e-07,1.3063000096735777e-05,1.0450000900164014e-06,5.013999998482177e-05,8.498999932271545e-06,0.0017517450000923418,0.0008139169999594742,0.00019976899989160302,7.821000008334522e-05,0.0013603689999399649,0.0011204110001017398,0.0011577570001009008,0.000908365999976013,0.004216894000137472,0.004208897999887995,0.012334529000099792,0.004200145999902816,0.0013294129998939752,0.001005570999950578
3.1199999739328632e-06,8.279998837679159e-07,3.5650000427267514e-06,9.149998732027598e-07,3.107000111413072e-06,9.690002116258256e-07,5.005000048186048e-06,2.8130000373494113e-06,3.107000111413072e-06,9.359998784930212e-07,3.3989999792538583e-06,1.02400008472614e-06,1.6261999917333014e-05,8.562999937566929e-06,0.001281510000126218,0.0008584469999277644,0.00010866000002351939,5.37779999376653e-05,0.001283653999962553,0.0011644379999324883,0.0011561999999685213,0.0009199769999668206,0.0049127939998925285,0.002407679000043572,0.006817261999913171,0.004236740000123973,0.001578147999907742,0.0008430779998889193
2.541000185374287e-06,8.320000688399887e-07,2.942000037364778e-06,8.86999941940303e-07,2.6019999950221973e-06,9.590000900061568e-07,4.396999884193065e-06,2.8760000532201957e-06,2.474999973856029e-06,8.790000265435083e-07,2.747000053204829e-06,9.450000106880907e-07,1.1193999853276182e-05,8.584000170230865e-06,0.0014294259999587666,0.0008325449998665135,9.784100006982044e-05,4.812199995285482e-05,0.0013394539998898836,0.0012365349998617603,0.0011833519999981945,0.0009501199999704113,0.005376329000000624,0.002528018000020893,0.005626494000125604,0.00420326199991905,0.0010626670000419836,0.000990439999895898
2.356000095460331e-06,7.909998203103896e-07,2.8389999897626694e-06,8.920001164369751e-07,2.4680000478838338e-06,9.590000900061568e-07,4.339000042818952e-06,2.8459999157348648e-06,2.2570000055566197e-06,8.179999895219225e-07,2.320000021427404e-06,9.85000042419415e-07,1.0861999953704071e-05,8.563999926991528e-06,0.0017644199999722332,0.0009022110000387329,9.508099992672214e-05,4.1929999952117214e-05,0.0013200439998399816,0.001339332000043214,0.0024214290001509653,0.0009689030000572529,0.0044014130000959995,0.003048644000045897,0.006780058000003919,0.004209344999935638,0.0009603979999610601,0.0009923190000336035
2.51199980993988e-06,8.289998731925152e-07,2.9129998893040465e-06,9.200000476994319e-07,2.6000000161729986e-06,1.0159999419556698e-06,4.259999968780903e-06,2.8519998522824608e-06,2.3469999632652616e-06,8.579997938795714e-07,2.6109998998435913e-06,9.719999525259482e-07,1.10119999590097e-05,8.533000027455273e-06,0.0011630510000486538,0.0008253409998815187,9.49939999372873e-05,4.55210001746309e-05,0.0012713369999346469,0.0011798110001564055,0.002087904000063645,0.0009208690000832576,0.0032850459999735904,0.003028820000054111,0.006703884999978982,0.0041931610001029185,0.0010022740000295016,0.0009876860001440946
2.423000069029513e-06,7.640001058462076e-07,2.7349999527359614e-06,8.039999102038564e-07,2.3559998680866556e-06,9.410000529896934e-07,4.226999863021774e-06,2.7999999474559445e-06,2.1609998839267064e-06,8.290001005661907e-07,2.4339999527001055e-06,9.43000031838892e-07,1.0758000144051039e-05,8.558999979868531e-06,0.0011577679999845714,0.0008661310000661615,9.338700010630419e-05,6.146900000203459e-05,0.0012525340000593133,0.0011898829998244764,0.0013688359999832755,0.000842335000015737,0.002394190999893908,0.00304533899998205,0.00790034800002104,0.004083046000005197,0.0009914489999118814,0.0010087850000672915
2.3019999844109407e-06,7.990001904545352e-07,2.7290000161883654e-06,8.209999577957205e-07,2.3079999209585367e-06,9.210000371240312e-07,4.110999952899874e-06,2.8080000902264146e-06,2.2009999156580307e-06,8.639999578008428e-07,2.3350000901700696e-06,9.190000582748326e-07,1.0877000022446737e-05,8.659000059196842e-06,0.0014566780000677682,0.0009016079998218629,0.00012062299992976477,4.634699985217594e-05,0.0012499340000431403,0.0011525479999363597,0.0010505669999929523,0.0009162239998659061,0.003313544000093316,0.0026002790000347886,0.0075781570001254295,0.004143941999927847,0.0010398059998806275,0.0014562259998456284
2.213000016126898e-06,7.610001375724096e-07,2.6899999738816405e-06,7.980002010299359e-07,2.3120001060306095e-06,9.34000127017498e-07,4.0439999793306924e-06,2.8309998469921993e-06,2.1990001641825074e-06,8.320000688399887e-07,2.409999979136046e-06,9.37000095291296e-07,1.0700999837354175e-05,8.705000027475762e-06,0.0008745490001729195,0.0008527410000169766,0.000461385000107839,4.483899988372286e-05,0.0012367269998776464,0.0011512870000842668,0.0010596300000997871,0.000851869000143779,0.0031265600000551785,0.0023511530000632774,0.005645940000022165,0.004210071999978027,0.0009983770000872028,0.0010871629999655852
2.1370001377363224e-06,7.840001217118697e-07,2.7129999580211006e-06,8.3000008999079e-07,2.3919999421195826e-06,9.069999578059651e-07,4.01000011152064e-06,2.8160000056232093e-06,2.1999999262334313e-06,8.81000005392707e-07,2.3320001218962716e-06,9.810000847210176e-07,1.0721999842644436e-05,8.73099997988902e-06,0.001249787999995533,0.0008220400000027439,0.0001094849999390135,4.588599995258846e-05,0.0012296689999402588,0.0011532180001267989,0.0012013009998099733,0.0008458530001007603,0.003156624999974156,0.0023742939999920054,0.005351239999981772,0.004165560000046753,0.0010094050001043797,0.0010043319998658262
2.167000047847978e-06,7.830001322872704e-07,2.6899999738816405e-06,8.440001693088561e-07,2.268000116600888e-06,9.269999736716272e-07,4.091999926458811e-06,2.8100000690756133e-06,2.1979999473842327e-06,8.120000529743265e-07,2.2860001536173513e-06,9.420000424142927e-07,1.059099986377987e-05,8.670999932292034e-06,0.002877930000067863,0.0008621530000709754,9.846900002230541e-05,4.630800003724289e-05,0.001302873999975418,0.001379179999958069,0.0012892839999949501,0.0008259620001354051,0.0024177019997750904,0.0023563479999211268,0.006168936000221947,0.004184530999964409,0.0008580690000599134,0.0009885239999221085
2.1820001165906433e-06,7.900000582594657e-07,2.7549999686016236e-06,8.199999683711212e-07,2.3079999209585367e-06,9.030000001075678e-07,4.0940001326816855e-06,2.8080000902264146e-06,2.173999973820173e-06,8.609999895270448e-07,2.322000000276603e-06,9.090001640288392e-07,1.0580999969533877e-05,8.492999995723949e-06,0.0013208029999987048,0.0008629040000869281,0.00012406600012582203,4.4926999862582306e-05,0.0012980840001546312,0.001178003999939392,0.0011107210000318446,0.0008500760000060836,0.002452176000133477,0.0030940240001200436,0.005323966000105429,0.004219664999936867,0.0024617340000077093,0.0008482450000428798
