time,time
4.913700013275957e-05,4.8707000132708345e-05
4.902099954051664e-05,4.9281000428891275e-05
4.9604999730945565e-05,4.875900049228221e-05
4.929300030198647e-05,4.874699970969232e-05
4.942500072502298e-05,4.8393999350082595e-05
4.9061000026995316e-05,4.8802000492287334e-05
4.896800055576023e-05,4.908400023850845e-05
4.934499975206563e-05,4.8781999794300646e-05
4.9172999752045143e-05,4.906999947706936e-05
4.894999983662274e-05,4.858800002693897e-05
4.911499945592368e-05,4.8722000428824686e-05
4.973999966750853e-05,4.8595999942335766e-05
4.927200006932253e-05,4.8627000069245696e-05
4.932899992127204e-05,4.929100032313727e-05
4.956099928676849e-05,4.877199990005465e-05
4.9111000407719985e-05,4.892399920208845e-05
4.9344000217388384e-05,4.900299973087385e-05
4.932299998472445e-05,4.918000013276469e-05
5.357200006983476e-05,4.885900034423685e-05
4.928399994241772e-05,4.877399987890385e-05
4.930099930788856e-05,4.9215999752050266e-05
4.971799990016734e-05,4.93180004923488e-05
4.926800011162413e-05,4.935099968861323e-05
4.992599951947341e-05,4.9002000196196605e-05
4.981399979442358e-05,4.928999987896532e-05
4.951600021740887e-05,4.94779997097794e-05
4.976299987902166e-05,4.9248999857809395e-05
4.943200019624783e-05,4.8859999878914095e-05
4.9758999921323266e-05,4.87730003442266e-05
4.99440002386109e-05,4.8378999963460956e-05
5.166200025996659e-05,5.0331999773334246e-05
5.068600057711592e-05,4.8662000153854024e-05
5.0783000006049406e-05,4.849200013268273e-05
5.077300011180341e-05,4.873899979429552e-05
5.076100023870822e-05,4.886399983661249e-05
5.0335000196355395e-05,4.874399928667117e-05
4.9609000598138664e-05,4.8861999857763294e-05
5.088900070404634e-05,4.8460000471095555e-05
5.081099970993819e-05,4.843399983656127e-05
5.0659999942581635e-05,4.866500057687517e-05
4.9948000196309295e-05,4.906399954052176e-05
5.031299951951951e-05,4.942699979437748e-05
4.976499985787086e-05,4.8767000407679006e-05
4.9252000280830543e-05,4.8627000069245696e-05
4.9989999752142467e-05,4.8686999434721656e-05
4.961600006936351e-05,4.8424999476992525e-05
4.9589999434829224e-05,4.856299983657664e-05
4.9974999456026126e-05,4.864099992119009e-05
4.955600070388755e-05,4.8330999561585486e-05
4.984099996363511e-05,4.860300032305531e-05
4.978700053470675e-05,4.849800006923033e-05
4.958600038662553e-05,4.879500011156779e-05
4.957100009050919e-05,4.855100087297615e-05
4.937999983667396e-05,4.871199962508399e-05
4.972000078851124e-05,4.879500011156779e-05
4.967499990016222e-05,4.888400053459918e-05
4.95469994348241e-05,4.8861000323086046e-05
5.039000006945571e-05,4.887699924438493e-05
